Numero sentiero tratta;Competenza;Denominazione;Difficoltà;Località inizio;Località fine;Quota inizio;Quota fine;Quota minima;Quota massima;Lunghezza plaminetrica;Lunghezza inclinata;Tempo andata;Tempo ritorno;Gruppo montagne interessate;Comuni toccati,miovalore,cancellato
E133A;SEZ. SAT ROVERETO;;E;STRADA DELLE MALGHE (b.133);STRADA DELLE MALGHE (b.131A);1775;1812;1775;1812;600;610;00:10;00:10;PASUBIO - COLSANTO;Trambileno,12,0
E134;SEZ. SAT ROVERETO;;E;CRESTA NO DEL MONTE ROITE (b.105);VERSANTE O DI CIMA PALON (b.135);2018;2155;1908;2155;3340;3390;01:15;01:15;PASUBIO - COLSANTO;Trambileno,19,0
E135;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;RAOSSI DI VALLARSA;COGOLO ALTO (b.105);727;2150;727;2155;7000;7210;04:45;03:30;PASUBIO - COLSANTO;Trambileno,13,0
E136;SEZ. SAT FOLGARIA;;EEA;SERRADA (b.104-137-140);BUS DE LA NEF DE LE COE;1270;1599;1270;1660;6600;6660;02:15;02:00;FINONCHIO - MONTE MAGGIO;Folgaria, Terragnolo,16,0
E137;SEZ. SAT FOLGARIA;Sentiero della Forra del Lupo;E;SERRADA  (b.104-136-140);FORTE DOSSO DELLE SOMME (b.136);1270;1660;1270;1660;5890;5910;02:20;01:40;FINONCHIO - MONTE MAGGIO;Folgaria, Terragnolo,16,0
E138;SEZ. SAT ROVERETO;SENTER DEI TROGARI;E;ZENCHERI (b.140);TEZE - presso caserme (b.137);943;1487;943;1487;2300;2370;01:45;01:10;FINONCHIO - MONTE MAGGIO;Terragnolo,14,0
E141;GRUPPO SAT VALLARSA (Sez. Rovereto);"VIA FERRATA ""PASQUALE BAGLIONI"" VF - EEA-PD";EEA;pr. COLLETTO BASSO DEL FIENO (b.179);pr. SELLA DEL COSMAGNON (b.135);1640;1900;1640;1900;2400;2420;02:00;01:40;PASUBIO - COLSANTO;Vallarsa,19,0
E142;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;SELLETTA COMANDO (b.120);"SELLETTA ""TEN. ""SALVATORE DAMAGGIO"" (b.105)";2075;2195;2075;2195;1030;1050;00:30;00:20;PASUBIO - COLSANTO;Trambileno,18,0
E142A;SEZ. SAT ROVERETO;;E;VERSANTE E DI CIMA PALON (b.142);SELLETTA DEI DUE DENTI (b.105);2125;2175;2125;2175;740;750;00:20;00:15;PASUBIO - COLSANTO;Trambileno,18,0
E144;SEZ. SAT ROVERETO;;E;SEGA DI TERRAGNOLO;VAL ZUCCARIA (b.133);668;1670;668;1670;6690;6790;03:45;02:45;PASUBIO - COLSANTO;Trambileno, Terragnolo,16,0
E145;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;TROCHETALL (b.146);DORSALE SE MONTE JOCOLE (b.146);1085;1950;1085;1950;3550;3660;02:30;01:50;CAREGA - PICCOLE DOLOMITI;Vallarsa, Ala,17,0
E146;GRUPPO SAT VALLARSA (Sez. Rovereto);SENTIERO DELLE TRINCEE;E;SP 89 DELLA VALLARSA - km 20,3;TESTATA VAL DI GATTO (b.115);1030;1952;1030;1952;4450;4600;03:40;02:40;CAREGA - PICCOLE DOLOMITI;Vallarsa,12,0
E147;SEZ. SAT ROVERETO;SENTIERO EUROPEO - E5;E;PASSO DELLA BORCOLA (b.124);VAL ZUCCARIA (b.133);1218;1883;1218;1895;7150;7240;03:30;02:50;PASUBIO - COLSANTO;Terragnolo, Trambileno,19,0
E148;SEZ. SAT ROVERETO;;E;MALGA BORCOLA;PASSO LUCCO (b.144);1194;1379;1094;1379;2290;2340;01:10;01:00;PASUBIO - COLSANTO;Terragnolo,12,0
E151;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;SP 219 PRESSO CAMPOSILVANO;RIFUGIO CAMPOGROSSO (b.170);961;1456;939;1464;5700;5780;02:10;01:40;CAREGA - PICCOLE DOLOMITI;Vallarsa,17,0
E152;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;VAL DI SINELLO (b.151);VAL GERLANO (b.160);939;1069;939;1100;2680;2710;01:10;01:00;CAREGA - PICCOLE DOLOMITI;Vallarsa,14,0
E153;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;SP 219 PRESSO CAMPOSILVANO;STRADA DELLE SETTE FONTANE;983;1393;983;1393;2700;2740;01:20;00:50;CAREGA - PICCOLE DOLOMITI;Vallarsa,18,0
E157;GRUPPO SAT VALLARSA (Sez. Rovereto), SEZ. SAT ALA;SENTIERO BOALE DEI FONDI;EE;PASSO DI CAMPOGROSSO (b.151);"RIFUGIO ""MARIO FRACCAROLI"" (b.108-108B)";1464;2238;1464;2238;5300;5460;03:00;02:30;CAREGA - PICCOLE DOLOMITI;Vallarsa,18,0
E157A;GRUPPO SAT VALLARSA (Sez. Rovereto);"SENTIERO ""ALBERTO GRESELE""";EE;pr. MALGA STORTA (b.151);QUOTA 1602 (b.157);1315;1602;1315;1602;1800;1850;01:00;00:40;CAREGA - PICCOLE DOLOMITI;Vallarsa,15,0
E160;GRUPPO SAT VALLARSA (Sez. Rovereto);SENTIERO DEL VALON DEI CAVAI;EE;FINE SP 89 DI VALLARSA - km 20,6;BOCCHETTA DELLA NEVE (b.108);1040;2097;1040;2097;4200;4410;03:15;02:20;CAREGA - PICCOLE DOLOMITI;Vallarsa, Ala,19,0
E162;GRUPPO SAT VALLARSA (Sez. Rovereto);;EE;STRADA OBRA-CAMPOGROSSO;BOCCHETTA DEL CHERLONG (b.108);1132;2115;1132;2115;2500;2700;03:15;02:30;CAREGA - PICCOLE DOLOMITI;Vallarsa, Ala,12,0
E170;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;PASSO PIAN DELLE FUGAZZE (b.179);RIFUGIO CAMPOGROSSO (b.151);1163;1456;1163;1585;4306;4410;02:15;02:00;CAREGA - PICCOLE DOLOMITI;Vallarsa,17,0
E173;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;STRADA DELLE SETTE FONTANE;PASCOLO MALGA BOFFETAL (b.170);1245;1461;1245;1461;1830;1860;00:40;00:30;CAREGA - PICCOLE DOLOMITI;Vallarsa,13,0
E175;GRUPPO SAT VALLARSA (Sez. Rovereto);;EEA;SELLETTA NO (b.170);MONTE CORNETTO;1585;1899;1585;1899;1340;1390;00:50;00:35;CAREGA - PICCOLE DOLOMITI;Vallarsa,14,0
E176;GRUPPO SAT VALLARSA (Sez. Rovereto);VF - EEA-F;EEA-F;pr. SELLETTA NO (b.170);PASSO DEGLI ONARI - bivio 149-CAI;1585;1768;1585;1768;1200;1220;00:40;00:30;CAREGA - PICCOLE DOLOMITI;Vallarsa,13,0
E177;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;ALPE DI CAMPOGROSSO (b.170);PASSO DEL BAFFELAN - bivio 149-CAI;1530;1660;1530;1690;1190;1220;00:40;00:30;CAREGA - PICCOLE DOLOMITI;Vallarsa,16,0
E179;GRUPPO SAT VALLARSA (Sez. Rovereto);;E;PASSO PIAN DELLE FUGAZZE (b.170);"GALLER.""GENERALE D'HAVET"" - b.398-CAI";1163;1781;1163;1781;2810;2900;02:00;01:20;PASUBIO - COLSANTO;Vallarsa,10,0
E201;SEZ. SAT LEVICO;SENTER DEL MENADOR;E;SANTA GIULIANA - frazione di Levico;FRATESELE (b.220);499;1255;499;1370;5890;6020;03:00;02:30;ALTOPIANO DI LAVARONE - VEZZENA;Levico Terme, Caldonazzo,15,0
E202;SEZ. SAT CALDONAZZO;SENTIERO DELLA PEGOLARA;E;LOCHERE - Trattoria alla Vedova;SPIAZZO ALTO (b.220);504;1263;504;1263;4800;4880;02:10;01:30;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo,19,0
E203;SEZ. SAT LEVICO;;E;BARCO;SELLA - parcheggio pr. Ristorante Carlòn;465;956;465;990;4800;4850;02:00;01:30;CIMA DODICI - ORTIGARA;Levico Terme, Borgo Valsugana,10,0
E204;SEZ. SAT BORGO VALSUGANA;TROSO DI MANAZZO;E;PONTE VAL DELLE TAOLE (b.207);PORTA MANAZZO-b.220-CAI (b.205-209);990;1795;0;1795;3590;3700;02:20;01:40;CIMA DODICI - ORTIGARA;Borgo Valsugana,10,0
E205;SEZ. SAT LEVICO;"SENTIERO ""MARIO MAGNAGO""";E;BAITA CANGI (b.201);PORTA MANAZZO - bivio 220-CAI (b.204-209);1370;1795;1370;2049;9580;9720;04:10;03:50;ALTOPIANO DI LAVARONE - VEZZENA;Levico Terme,10,0
E206;SEZ. SAT BORGO VALSUGANA;SENTIERO DI VAL CALDIERA - ORTIGARA SAA;E;OLLE - Borgo;BIVACCO BUSE DELLE DODESE (b.211);442;2050;442;2160;7570;7870;05:20;04:20;CIMA DODICI - ORTIGARA;Borgo Valsugana,13,0
E207;SEZ. SAT BORGO VALSUGANA, SEZ. SAT LEVICO;VIA FERRATA HIPPOLITI EEA-F;E;SELLA - località Genzianella;ALTOPIANO (b. 205);900;1900;900;1940;6830;6990;03:15;02:20;CIMA DODICI - ORTIGARA;Borgo Valsugana, Levico Terme,10,0
E207A;SEZ. SAT BORGO VALSUGANA;SENTIERO DELLA GROTTA DI COSTALTA;E;SPIGOLO DI COSTALTA (b.207);GROTTA DI COSTALTA;1660;1700;1660;1700;250;260;00:10;00:05;CIMA DODICI - ORTIGARA;Borgo Valsugana,15,0
E208;SEZ. SAT BORGO VALSUGANA;;E;SELLA EX LOCANDA AL CACCIATORE;LA FORZELLETTA (b.211);848;2150;848;2185;7900;8110;04:30;03:30;CIMA DODICI - ORTIGARA;Borgo Valsugana,15,0
E209;SEZ. SAT BORGO VALSUGANA;;E;PORTA MANAZZO-b.220-CAI (b.204-205);BUSA DEI KEMPEL (b.208);1795;1970;1795;2037;4500;4560;02:30;02:00;CIMA DODICI - ORTIGARA;Borgo Valsugana,14,0
E210;SEZ. SAT BORGO VALSUGANA;;EE;SELLA - parcheggio ex Hotel Legno;EREMO DI SAN LORENZO AL MONTE;830;1185;830;1185;3490;3540;01:30;01:10;CIMA DODICI - ORTIGARA;Borgo Valsugana,12,0
E211;SEZ. SAT BORGO VALSUGANA;SENTIERO ALPINISTICO DEL VALLON DELLE TRAPPOLE - SAA;EE;PRAE - strada Val di Sella;CIMA DODICI - bivio 835-CAI;700;2336;700;2336;5580;5870;05:20;03:40;CIMA DODICI - ORTIGARA;Borgo Valsugana,15,0
E217;SEZ. SAT LAVARONE;SENTIERO DELL'ANCINO o del LANZINO;E;MOLIN NOVO;LAVARONE FRAZIONE CHIESA;600;1176;600;1176;4640;4710;02:40;02:15;ALTOPIANO DI LAVARONE - VEZZENA;Centa S. Nicolò,13,0
E218;SEZ. SAT CALDONAZZO;VIA FERRATA DI VALIMPACH VF - EEA-PD;EEA-PD;VALLE DEL CENTA (b.217);PONTE DI VALIMPACH (b.219);620;926;620;926;750;820;01:15;01:15;ALTOPIANO DI LAVARONE - VEZZENA;Centa S. Nicolò, Caldonazzo,12,0
E219;SEZ. SAT CALDONAZZO;SENTIERO ATTREZZATO DELLA STRADA DELLA VAL CARETA;EE;PINETA DI CALDONAZZO (b.225);CASARE DI LAVARONE;499;1148;0;1148;5890;5960;02:30;02:00;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo, Lavarone,16,0
E220;SEZ. SAT CALDONAZZO;;E;FRATESELE (b.201);MONTE CIMONE (b.222-225);1248;1526;1248;1526;3420;3470;01:25;01:10;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo,10,0
E221;SEZ. SAT LAVARONE;;EE;BUSATTI - Val d'Astico;GIONGHI;626;1172;626;1172;4100;4170;01:45;01:20;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone,17,0
E222;SEZ. SAT CALDONAZZO;SENTIERO ATTREZZATO DEL TAMAZOL SAA - EE;EE;COL DELLE ALBARELE (b.219);MONTE CIMONE (b.220-225);620;1526;620;1526;3030;3200;03:00;02:20;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo, Lavarone,18,0
E223;SEZ. SAT LAVARONE;;E;GIONGHI;pr. BELVEDERE (b.220);1172;1416;1172;1416;3080;3120;01:15;01:00;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone, Caldonazzo,16,0
E224;SEZ. SAT LAVARONE;;E;BERTOLDI - Fontana del Tomaso;HINDERLOCH (b.220);1172;1452;1172;1452;2000;2040;01:00;00:45;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone, Caldonazzo,14,0
E225;SEZ. SAT CALDONAZZO;SENTIERO DEI PIANI;E;PINETA DI CALDONAZZO (b.219);MONTE CIMONE (b.220-222);499;1526;499;1526;3880;4040;03:30;02:30;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo,13,0
E226;SEZ. SAT CALDONAZZO;;E;PONTE DEL RIO - Caldonazzo;SP 133 DELLA PEGOLARA (b.202);516;860;516;860;1100;1160;01:00;00:40;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo,18,0
E231;SEZ. SAT BORGO VALSUGANA;SENTIERO ALPINISTICO ATTREZZATO DEL VALLON DELLE DODICI - SAA;EE;VALLON DELLE TRAPPOLE (b.211);ALTOPIANO (b.211);1100;2097;1100;2097;2690;2880;03:10;02:10;CIMA DODICI - ORTIGARA;Borgo Valsugana,20,0
E233;SEZ. SAT CALDONAZZO;"VIA FERRATA DELLA VAL SCURA ""CLEMENTE CHIESA"" - VF - EEA-PD";EEA-PD;VAL SCURA - bivio SP 133 dir.;BUSA SEGHETA (b.201);542;1240;542;1240;2990;3100;03:10;02:50;ALTOPIANO DI LAVARONE - VEZZENA;Caldonazzo, Levico Terme,16,0
E235;SEZ. SAT LEVICO;SENTIERO EUROPEO N. 5;T;BUSA DELLE SCANDOLE (b.205);LUSERNA;1380;1333;1333;1460;6600;6660;02:00;02:05;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone, Levico Terme, Luserna,17,0
E242;SEZ. SAT BORGO VALSUGANA;SENTIERO DELLA PERTICA e di GIOGO MALO;E;PERTEGA - Grigno;BOSCO GIOGO MALO - bivio 842-CAI;249;1640;249;1640;6090;6320;04:10;03:00;CIMA DODICI - ORTIGARA;Grigno,11,0
E297;SEZ. SAT O.C.;STRADA NUOVA, SENTIERO DI FONDO GRANDE, SENTIERO DELLE SCALETTE;E;FORTE BELVEDERE;LA CROSETTA - bivio 597 e 598-CAI;1165;790;790;1165;2360;2400;00:50;01:10;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone,15,0
E297A;SEZ. SAT O.C.;;E;LE TABELLE (b.297);L'ECK DELLE ALBARELE;1025;973;973;1030;780;800;00:25;00:30;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone,14,0
E298;SEZ. SAT O.C.;;E;SELLA DEL CAVALLO - bivio 599-CAI (b.299);MASETTI;730;1157;730;1157;1220;1300;01:10;00:50;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone,12,0
E299;SEZ. SAT O.C.;SENTIERO VALLE RIO TORTO;E;MONTEROVERE;SELLA DEL CAVALLO - bivio 599-CAI (b.298);1255;730;730;1255;3680;3750;01:25;01:45;ALTOPIANO DI LAVARONE - VEZZENA;Lavarone,20,0
E301;SEZ. SAT O.C.;SENTIERO DEL CASARIN;E;MALGA VAL CION (b.318);BUSA SADOLE (b.320);1973;1915;1825;1973;7600;7660;03:30;03:30;LAGORAI / Mànghen - Stellune - Sàdole;Pieve Tesino, Ziano di Fiemme,13,0
E302;SEZ. SAT O.C.;;E;PASSO SADOLE (b.320);COLDOSE DI DENTRO (b.339);2066;1805;1785;2134;4930;5000;02:00;02:20;LAGORAI / Cauriòl - Céce - Colbricon;Ziano di Fiemme, Pieve Tesino, Canal S. Bovo,20,0
E303;SEZ. SAT LEVICO;SENTIERO DI CAMPO;E;LEVICO TERME (b.305);VETRIOLO - Piazzale delle Terme;505;1480;505;1480;5700;5860;03:10;02:15;LAGORAI / Fravòrt - Sette Selle;Levico Terme,19,0
E305;SEZ. SAT LEVICO;SENTIERO DEL RONCO;E;LEVICO TERME (b.303);VETRIOLO;505;1480;505;1480;5890;6000;02:50;02:00;LAGORAI / Fravòrt - Sette Selle;Levico Terme,17,0
E308;SEZ. SAT LEVICO;;E;VETRIOLO;CIMA PANAROTTA;1477;2001;1477;2001;3300;3360;01:40;01:10;LAGORAI / Fravòrt - Sette Selle;Levico Terme,17,0
E309;SEZ. SAT LEVICO;;E;VETRIOLO VECCHIO - Ristorante;CRESTA O CIMA PANAROTTA  (b.308);1490;1940;1490;1940;2700;2780;01:20;01:00;LAGORAI / Fravòrt - Sette Selle;Levico Terme,10,0
E310;SEZ. SAT BORGO VALSUGANA;SENTIERO DEI MANGHENETI;E;PASSO DEL MANGHEN (b.322);PASSO CADIN o di FIEMME (b.314-461);2047;2108;1954;2108;4690;4750;02:30;02:20;LAGORAI / Costalta - Croce;Telve,14,0
E310A;SEZ. SAT BORGO VALSUGANA;;E;MALGA VALSOLERO DI SOPRA;PASSO MANGHENETO (b.310);1748;1954;1748;1954;1500;1520;00:40;00:30;LAGORAI / Costalta - Croce;Telve, Castello-Molina di Fiemme,17,0
E311;SEZ. SAT BORGO VALSUGANA;;E;STALON;FORCELLA DELLE CONELLE - SENSATTEL (b.343);1554;2198;1554;2198;3960;4040;02:00;01:30;LAGORAI / Fravòrt - Sette Selle;Torcegno,17,0
E312;SEZ. SAT BORGO VALSUGANA;;E;SUERTA;pr. FORCELLA DI SASSO ROTTO (b.343);1450;2250;1450;2285;4700;4800;02:40;02:10;LAGORAI / Fravòrt - Sette Selle;Torcegno, Telve di Sopra,14,0
E313;SEZ. SAT PERGINE;;E;CARGADORA - ZIVIGNAGO;RISTORANTE PANAROTTA (b.325);520;1780;0;1780;8010;8140;03:30;02:30;LAGORAI / Fravòrt - Sette Selle;Pergine Valsugana, Vignola-Falesina,15,0
E314;SEZ. SAT PERGINE, SEZ. SAT BORGO VALSUGANA, GRUPPO SAT CAPRIANA (Sez. Cavalese);;E;LENZI;pr. BAITO FORNASA BASSA SP 31 (b.423);1350;1450;1350;2121;12190;12380;05:30;05:10;LAGORAI / Costalta - Croce;Palù del Fersina, Telve, Castello-Molina di Fiemme,18,0
